path,lines,sha256,declarations,internal_imports,test_annotations
app/src/main/java/io/github/ffenuss/modkit/analysis/FastArtifactIndexer.kt,422,b980239cc142e690257b9c3e16ac8da383980320d6633f644d4d55aaf541a79a,FastArtifactIndexer; AnalysisCancelledException,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/Il2CppBinaryBindingEngine.kt,254,4a8afe376f2bb836573013d44cdbdf80a33651a9b59b41ee934691a5f43a3876,Il2CppBinaryBindingResult; Il2CppBinaryBindingEngine,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/Il2CppCodeGenScanner.kt,1524,acf62371e82f20cac4ae4bdd3a98bdecdbcd18f5f62460a695d89a66ec89bd6f,Il2CppCodeGenModuleEvidence; Il2CppNativeReturnKind; Il2CppMethodBinaryBinding; Il2CppBinaryEvidence; Il2CppCodeGenScanner,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/Il2CppDumpRenderer.kt,171,6132e550a26dd3d53967a47bfaab1c3b8c5676aafb529d32a8f61da9bf01ab30,Il2CppDumpRenderer,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/Il2CppEvidenceSupport.kt,51,f26f1290397a53739c31119897a3dab21f22349b344e5369d23bf5f88ec6217a,,io.github.ffenuss.modkit.domain.ProofLevel,0
app/src/main/java/io/github/ffenuss/modkit/analysis/Il2CppFastDumpEngine.kt,173,29fcbbde2781efd4be49b1e7c2b30d3c07f738b84de6773ff20d3922918c12f5,Il2CppFastDumpResult; Il2CppFastDumpEngine,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/Il2CppMetadataReader.kt,435,a158917be80dacfb1e354a3a6fcd72015ab78c1674a9242662cf30548848d017,Il2CppTableRange; Il2CppTypeDefinition; Il2CppMethodDefinition; Il2CppFieldDefinition; Il2CppImageDefinition; Il2CppMetadataModel; Il2CppMetadataReader,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/RoutedEngineScheduler.kt,317,9354987e436a79028e57be5f9a2055bcde8c2e39d14b57551d0236aad429dd76,RoutedEngineScheduler,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/RuntimeFingerprintProfiler.kt,102,e6339c51306c547d704ac623facdc31e706b3c41d07e2a8f67c3cb9fa1a4fb92,RuntimeFingerprintProfiler,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/TargetMaterializer.kt,110,414dee0f0fa7dd505d8d3304aff08605592a432a156ba7224ba5d2ff3a1072d1,MaterializedTarget; TargetMaterializer,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
